bit;grupo;nombre;enDesuso;sgeNombre
0;;;; 
1;Reserva de laboratorio;Reservar laboratorio docente para un curso (Automático del Sistema);FALSE;RES_LAB_RESERVAR_CURSO_AUTO
2;Reserva de laboratorio;Ver reservas confirmadas para un curso (Automático del Sistema);FALSE;RES_LAB_VER_RESERVAS_CURSO_AUTO
3;Reserva de laboratorio;Realizar reserva discrecional;FALSE;RES_LAB_REALIZAR_RESERVA_DISCRECIONAL
4;Reserva de laboratorio;Confirmar reservas;FALSE;RES_LAB_CONFIRMAR_RESERVAS
5;Reserva de laboratorio;Ver totalidad de reservas confirmadas + Pasadas + Rechazadas;FALSE;RES_LAB_VER_TODO_RESERVAS
6;Reserva de laboratorio;Ver reservas confirmadas generales para docentes;FALSE;RES_LAB_VER_RESERVAS_GENERALES_DOCENTES
7;Reserva de laboratorio;Reservar laboratorio docente para la cátedra (Automático del Sistema);FALSE;RES_LAB_RESERVAR_CATEDRA_AUTO
8;Reserva de laboratorio;Ver reservas confirmadas para la cátedra;FALSE;RES_LAB_VER_RESERVAS_CATEDRA
9;Aplicaciones;Ver listado;FALSE;APLICACIONES_VER_LISTADO
10;;;; 
11;Aplicaciones;Agregar + Editar + Eliminar;FALSE;APLICACIONES_ABM
12;Aplicaciones;Cargar Práctica (Automático del sistema);FALSE;APLICACIONES_CARGAR_PRACTICA_AUTO
13;Laboratorio abierto;Reservar;FALSE;LAB_ABIERTO_RESERVAR
14;Laboratorio abierto;Ver mis reservas actuales y pasadas;FALSE;LAB_ABIERTO_VER_MIS_RESERVAS
15;Laboratorio abierto;Ver planilla de tutores y horarios;FALSE;LAB_ABIERTO_VER_PLANILLA_TUTORES
16;Laboratorio abierto;Confirmar Reservas;FALSE;LAB_ABIERTO_CONFIRMAR_RESERVAS
17;;;; 
18;;;; 
19;Laboratorio abierto;Suspender alumno;FALSE;LAB_ABIERTO_SUSPENDER_ALUMNO
20;Laboratorio abierto;Des-suspender alumno;FALSE;LAB_ABIERTO_DESSUSPENDER_ALUMNO
21;;;; 
22;Laboratorio abierto;Tutores -> Agregar + Editar + Eliminar;FALSE;LAB_ABIERTO_TUTORES_ABM
23;;;; 
24;;;; 
25;Materias;Agregar + Editar + Eliminar;FALSE;MATERIAS_ABM
26;Materias;Ver listado de materias;FALSE;MATERIAS_VER_LISTADO
27;Materias;Administrar Correlativa;FALSE;MATERIAS_ADMINISTRAR_CORRELATIVA
28;Cursos;Mostrar todos;FALSE;CURSOS_MOSTRAR_TODOS
29;Cursos;Agregar + Editar + Eliminar;FALSE;CURSOS_ABM
30;Cursos;"Ver ""Mis Cursos"" (Automático del Sistema)";FALSE;CURSOS_VER_MIS_CURSOS_AUTO
31;;;; 
32;;;; 
33;Divisiones;Agregar + Editar + Eliminar;FALSE;DIVISIONES_ABM
34;Divisiones;Ver Listado de Divisiones creadas;FALSE;DIVISIONES_VER_LISTADO
35;;;; 
36;;;; 
37;Armarios;Agregar + Editar + Eliminar;FALSE;ARMARIOS_ABM
38;;;; 
39;Estantes;Agregar + Editar + Eliminar;FALSE;ESTANTES_ABM
40;;;; 
41;Equipos;Agregar + Editar + Eliminar;FALSE;EQUIPOS_ABM
42;Equipos;Ver listado de equipos;FALSE;EQUIPOS_VER_LISTADO
43;Equipos;Buscar equipo;FALSE;EQUIPOS_BUSCAR_EQUIPO
44;Equipos;Reporte por armario;FALSE;EQUIPOS_REPORTE_ARMARIO
45;Equipos;Reporte por tipo;FALSE;EQUIPOS_REPORTE_TIPO
46;Equipos;Admin: Puede ver la ubicación de los Equipos;FALSE;EQUIPOS_ADMIN_VER_UBICACION
47;Equipos;Reporte por laboratorio;FALSE;EQUIPOS_REPORTE_LABORATORIO
48;Equipos;Agregar + Editar + Eliminar Manuales;FALSE;EQUIPOS_ABM_MANUALES
49;;;; 
50;Equipos préstamo;Prestar;FALSE;EQUIPOS_PRESTAMO_PRESTAR
51;Equipos préstamo;Ver Préstamos activos y finalizados;FALSE;EQUIPOS_PRESTAMO_VER_PRESTAMOS
52;Equipos préstamo;"Ver ""Mis préstamos activos y finalizados""";FALSE;EQUIPOS_PRESTAMO_VER_MIS_PRESTAMOS
53;;;; 
54;;;; 
55;;;; 
56;Equipos tipo;Agregar + Editar + Eliminar;FALSE;EQUIPOS_TIPO_ABM
57;;;; 
58;Biblioteca;Agregar + Editar + Eliminar Libro;FALSE;BIBLIOTECA_ABM_LIBRO
59;Biblioteca;Ver listado de libros;FALSE;BIBLIOTECA_VER_LISTADO
60;Biblioteca;Buscar libro;FALSE;BIBLIOTECA_BUSCAR_LIBRO
61;Biblioteca;Puede ver detalles del libro;FALSE;BIBLIOTECA_VER_DETALLES_LIBRO
62;;;; 
63;Biblioteca;Editoriales: Puede agregar, editar y Eliminar.;FALSE;BIBLIOTECA_EDITORIALES_ABM
64;Biblioteca préstamo;Prestar;FALSE;BIBLIOTECA_PRESTAMO_PRESTAR
65;Biblioteca préstamo;Ver préstamos activos y finalizados;FALSE;BIBLIOTECA_PRESTAMO_VER_PRESTAMOS
66;Biblioteca préstamo;"Ver ""Mis préstamos activos y finalizados""";FALSE;BIBLIOTECA_PRESTAMO_VER_MIS_PRESTAMOS
67;;;; 
68;;;; 
69;Convenio electrocomponentes;Requerir certificado;TRUE;CONV_ELECTROCOMPONENTES_REQUERIR_CERTIFICADO
70;Convenio electrocomponentes;Ver detalles del convenio;TRUE;CONV_ELECTROCOMPONENTES_VER_DETALLES
71;Convenio electrocomponentes;Administrar certificados pedidos;TRUE;CONV_ELECTROCOMPONENTES_ADMIN_CERTIFICADOS
72;Convenio electrocomponentes;Eliminar certificado;TRUE;CONV_ELECTROCOMPONENTES_ELIMINAR_CERTIFICADO
73;;;; 
74;;;; 
75;;;; 
76;Convenio Mayer;Requerir certificado;TRUE;CONV_MAYER_REQUERIR_CERTIFICADO
77;Convenio Mayer;"Ver ""Mis pedidos actuales y pasados""";TRUE;CONV_MAYER_VER_MIS_PEDIDOS
78;;;; 
79;Convenio Mayer;Enviar resumen a Mayer;TRUE;CONV_MAYER_ENVIAR_RESUMEN
80;Convenio Mayer;Administrar pedidos para Mayer;TRUE;CONV_MAYER_ADMIN_PEDIDOS
81;;;; 
82;;;; 
83;Reporte fallas;Buscar Reportes de Fallas;FALSE;REP_FALLAS_BUSCAR_REP_FALLAS
84;Reporte fallas;Reportar Fallas de Pc/s e Instrumental;FALSE;REP_FALLAS_REPORTAR_FALLAS
85;Reporte fallas;Administrar Reportes de Fallas;FALSE;REP_FALLAS_ADMIN_REP_FALLAS
86;Actividades para el usuario SGE;Publicar y Administrar;FALSE;ACTIVIDADES_USUARIO_SGE_PUBLICAR_ADMIN
87;Actividades para el usuario SGE;Ver publicaciones;FALSE;ACTIVIDADES_USUARIO_SGE_VER_PUBLICACIONES
88;;;; 
89;;;; 
90;Actividades abiertas;Publicar y Administrar;FALSE;ACTIVIDADES_ABIERTAS_PUBLICAR_ADMIN
91;Actividades abiertas;Ver publicaciones;FALSE;ACTIVIDADES_ABIERTAS_VER_PUBLICACIONES
92;;;; 
93;Administrador;Puede actualizar el acta de consejeros;FALSE;ADMIN_ACTUALIZAR_ACTA_CONSEJEROS
94;Administrador;Modificar Atributos;FALSE;ADMIN_MODIFICAR_ATRIBUTOS
95;Administrador;Modificar Atributos de Administración;FALSE;ADMIN_MODIFICAR_ATRIBUTOS_ADMIN
96;Administrador;Ver Panel Control Administrador;FALSE;ADMIN_VER_PANEL_ADMIN
97;Administrador;El usuario pertenece al grupo Tutor;FALSE;
98;Administrador;El usuario pertenece al grupo Docente;FALSE;
99;Administrador;El usuario pertenece al grupo Consejero Departamental;FALSE;
100;Administrador;"Puede ver los resultados de los votos de acta (ex- ""puede ver la encuesta docente"")";FALSE;ADMIN_VER_RESULTADOS_ACTA
101;Administrador;El usuario pertenece al grupo Pañol;FALSE;
102;Administrador;El usuario pertenece al grupo Alumno;FALSE;
103;Administrador;Puede ver notificaciones en el índex principal;FALSE;ADMIN_VER_NOTIFICACIONES_INDEX
104;;;; 
105;Administrador;Acceso al SVN;FALSE;ADMIN_ACCESO_SVN
106;Administrador;Ver Ficha Usuario;FALSE;ADMIN_VER_FICHA_USUARIO
107;Administrador;Agregar Usuarios a Grupos;FALSE;ADMIN_AGREGAR_USUARIOS_A_GRUPOS
108;Administrador;Ofertas Laborales: Agregar / Eliminar -- Ahora --> INSCRIPCIONES ESPECIALES;FALSE;ADMIN_OFERTAS_LABORALES_ABM
109;Administrador;El usuario pertenece al grupo Administrador Web;FALSE;
110;Reserva de laboratorio;Agregar y Eliminar de pantalla;FALSE;RES_LAB_ABM_PANTALLA
