permiso;rol
ADMIN_MODIFICAR_ATRIBUTOS;Administración
ADMIN_MODIFICAR_ATRIBUTOS_ADMIN;Administración
ADMIN_VER_PANEL_ADMIN;Administración
ADMIN_ABM_USUARIOS;Administración
ADMIN_ES_ALUMNO;Administración
ADMIN_ES_ADMINISTRADOR_WEB;Administración
ADMIN_VER_FICHA_USUARIO;Administración
ADMIN_AGREGAR_USUARIOS_A_GRUPOS;Administración
ADMIN_ACTUALIZAR_ACTA_CONSEJEROS;Administración
ADMIN_OFERTAS_LABORALES_ABM;Administración
RES_LAB_RESERVAR_CURSO_AUTO;Docente
RES_LAB_RESERVAR_CURSO_AUTO;Cátedra
RES_LAB_VER_RESERVAS_CURSO_AUTO;Docente
RES_LAB_VER_RESERVAS_CURSO_AUTO;Cátedra
RES_LAB_REALIZAR_RESERVA_DISCRECIONAL;Laboratorios
RES_LAB_CONFIRMAR_RESERVAS;Laboratorios
RES_LAB_VER_TODO_RESERVAS;Laboratorios
RES_LAB_VER_RESERVAS_GENERALES_DOCENTES;Laboratorios
RES_LAB_RESERVAR_CATEDRA_AUTO;Cátedra
RES_LAB_VER_RESERVAS_CATEDRA;Cátedra
RES_LAB_ABM_PANTALLA;Laboratorios
APLICACIONES_VER_LISTADO;Alumno
APLICACIONES_VER_LISTADO;Docente
APLICACIONES_VER_LISTADO;Cátedra
APLICACIONES_VER_LISTADO;Laboratorios
APLICACIONES_VER_LISTADO;Administración de laboratorios
APLICACIONES_ABM;Administración de laboratorios
LABORATORIOS_ABM;Administración de laboratorios
LAB_ABIERTO_RESERVAR;Alumno
LAB_ABIERTO_RESERVAR;Docente
LAB_ABIERTO_RESERVAR;Cátedra
LAB_ABIERTO_RESERVAR;Laboratorios abiertos
LAB_ABIERTO_RESERVAR;Administración de laboratorios abiertos
LAB_ABIERTO_VER_MIS_RESERVAS;Alumno
LAB_ABIERTO_VER_MIS_RESERVAS;Docente
LAB_ABIERTO_VER_MIS_RESERVAS;Cátedra
LAB_ABIERTO_VER_MIS_RESERVAS;Laboratorios abiertos
LAB_ABIERTO_VER_MIS_RESERVAS;Administración de laboratorios abiertos
LAB_ABIERTO_VER_PLANILLA_TUTORES;Alumno
LAB_ABIERTO_VER_PLANILLA_TUTORES;Docente
LAB_ABIERTO_VER_PLANILLA_TUTORES;Cátedra
LAB_ABIERTO_VER_PLANILLA_TUTORES;Laboratorios abiertos
LAB_ABIERTO_VER_PLANILLA_TUTORES;Administración de laboratorios abiertos
LAB_ABIERTO_CONFIRMAR_RESERVAS;Laboratorios abiertos
LAB_ABIERTO_CONFIRMAR_RESERVAS;Administración de laboratorios abiertos
LAB_ABIERTO_TUTORES_ABM;Administración de laboratorios abiertos
MATERIAS_ABM;Administración de cursos
MATERIAS_VER_LISTADO;Alumno
MATERIAS_VER_LISTADO;Docente
MATERIAS_VER_LISTADO;Cátedra
MATERIAS_VER_LISTADO;Administración de cursos
MATERIAS_ADMINISTRAR_CORRELATIVA;Administración de cursos
CURSOS_MOSTRAR_TODOS;Alumno
CURSOS_MOSTRAR_TODOS;Docente
CURSOS_MOSTRAR_TODOS;Cátedra
